Timestamp	Do you work in the climbing industry full time or part time?	How many years of experience do you have working in climbing?	How old are you?	What is your MAIN source of income within the climbing industry? 	What is your [hourly] salary in this PRIMARY position? [include currency-USD$___, etc]	What SECONDARY job do you make income from within the climbing industry?	What is your [hourly] salary in this SECONDARY position? [include currency-USD$___, etc]	What TERTIARY job do you make income from within the climbing industry?	What is your [hourly] salary in this TERTIARY position?	Where do you work? [Country/State/City] 	What is the minimum wage in the city/area where you work? 	Does your climbing job  provide you with medical  coverage?	Do you feel you are compensated  fairly for the work you do?	Have you experienced unsafe working conditions in  your time working in the climbing industry?	Have you experienced harassment, racism,  sexism, homophobia, transphobia, or any  other type of discrimination in the workplace?  Check yes to ALL that apply.	What is your  race?	What is your  gender?	Share any additional reflections or experiences working in the climbing industry [optional].
7/16/2020 15:55:57	Full Time	3-5	22-30	Climbing Instructor (for Children)	$7.85	Selling drugs	300000			Kansas City, MO	$7.65	No	Yes	Yes	Racism, Sexism, Homophobia, Transphobia, MAGA	Biracial	Non Binary	
7/16/2020 14:54:19	Part Time	1-3	18-22	Gym Employed Routesetter	$15 per hour CAD	Climbing Gym Employee (Front Desk)	14	Climbing Instructor (for Children)	$14 per hourCAD	Ottawa, ontario, canada	$14 per hour CAD	No	No	Not really but routesetting does come with its safety converns	Sexism	White	Female	People think i dont do as good of a job when i set because im a woman. I also make less than my male coworkers 
7/16/2020 16:26:06	Full Time	1-3	22-30	Gym Employed Routesetter	19-USD					SF/CA/USA	15-USD	Yes	Yes	Back wall maintenance had no lighting 		Asian	Female	I am lucky enough to have a good group of people who are all men. They are encouraging and I know they have my back. 
7/16/2020 16:32:30	Full Time	3-5	22-30	Gym Employed Routesetter	$12	Climbing Instructor (for Adults)	15	Climbing Gym Employee (Management)	12	Woburn, MA, USA	11.75	No	No	Yes	Sexism	White	Male	
7/16/2020 17:08:26	Part Time	3-5	18-22	Climbing Gym Employee (Front Desk)	15 cad	Safety inspections. 	15	Climbing Instructor (for Children)	15 cad	Ontario Canada	$14 cad per hour. 	No	No	No	People being assholes in general. 	White	Male	None. 
7/16/2020 17:10:00	Seasonally	1-3	22-30	Gym Employed Routesetter	None we all volunteer and get  paid in food the owner brings  and free memberships plus  discounts					Fairbanks/Alaska/USA	9.8	No	No	One time I got a T nut fucked up and the owner upset 		Hispanic	Male	No
7/16/2020 18:09:11	Part Time	1-3	22-30	Gym Employed Routesetter	15 USD	Climbing Gym Employee (Front Desk)	14.4	NA	0	Portland OR	12.5	Full time employees are eligible	No	Yes		White	Male	
7/16/2020 18:36:54	Full Time	0-1	22-30	Gym Employed Routesetter	17.31					USA	N/A	Not Sure	N/A	No		Asian	Male	
7/16/2020 19:25:16	Casual	1-3	Under 18	Climbing Instructor (for Children)	AUD $13.50	Climbing Gym Employee (Front Desk)	13.5	Climbing Instructor (for Adults)	AUD $13.5	Melbourne, Victoria, Australia	For under 18's minimum wage  is $7.25	No	Yes	No, but I have been involved in an accident in which a climber fell  onto me and knocked me out however I take full responsibility for  that incident as I was standing in the wrong place at the wrong time.  Further safety precautions were put in place to avoid another  similar incident.		White	Female	It's been wonderful and in my experiences the community has been a very welcoming place. The gym I work at is very tight  knit and I would consider many of my co-workers and customers to be an extension of my family.
7/16/2020 19:43:46	Full Time	3-5	30-40	Gym Employed Routesetter	15	Climbing Instructor (for Children)	15	Gym Employed Climbing Personal Trainer/Coach	25	Houston Texas USA	7.25	No	Mostly yes	Before we implemented full OSHA safety standards when we work  at heights, yes		White	Male	
