Timestamp,Do you work in the climbing industry full time or part time?,Experience_Clean,Age_Clean,Main_Clean,Primary_Clean,Where do you work? [Country/State/City] ,City_Clean,State_Clean,Country_Clean,MinWage_Clean
7/16/20 15:55,Full Time,3 to 5,22-30,Coach or Instructor,7.85,"Kansas City, MO",Kansas City,MO,United States,10.3
7/16/20 16:26,Full Time,1 to 3,22-30,Routesetter,19,SF/CA/USA,San Francisco,CA,United States,14
7/16/20 16:32,Full Time,3 to 5,22-30,Routesetter,12,"Woburn, MA, USA",Woburn,MA,United States,13.5
7/16/20 19:43,Full Time,3 to 5,30-40,Routesetter,15,Houston Texas USA,Houston,TX,United States,7.25
7/16/20 19:53,Full Time,5 to 10,22-30,Routesetter,11.41,Birmingham,Birmingham,AL,United States,7.25
7/16/20 22:56,Full Time,10 or more,30-40,Coach or Instructor,16,"Watertown, MA, USA",Watertown,MA,United States,13.5
7/16/20 23:16,Full Time,5 to 10,22-30,Management,19.5,Arlington/Virginia/US,Arlington,VA,United States,9.5
7/17/20 0:09,Full Time,3 to 5,22-30,Management,19.25,"Arlington, Virgina, USA",Arlington,VA,United States,9.5
7/17/20 0:34,Full Time,1 to 3,30-40,Management,16,Virginia,,VA,United States,9.5
7/17/20 0:38,Full Time,1 to 3,22-30,Coach or Instructor,15,Bend/OR/USA,Bend,OR,United States,12.75
7/17/20 1:36,Full Time,3 to 5,22-30,Routesetter,16.5,"Nashville, TN, USA",Nashville,TN,United States,7.25
7/17/20 6:09,Full Time,5 to 10,22-30,Routesetter,30,"New York, New York, USA",New York,NY,United States,12.5
7/17/20 11:48,Full Time,5 to 10,22-30,Front Desk,18.75,"New York, NY USA",New York,NY,United States,12.5
7/17/20 12:51,Full Time,3 to 5,22-30,Management,15,"Burlington VT, USA",Burlington,VT,United States,11.75
7/17/20 16:54,Full Time,3 to 5,22-30,Management,13.25,St. Paul / Minnesota / United States ,St. Paul,MN,United States,10.08
7/17/20 16:55,Full Time,5 to 10,22-30,Routesetter,25,"Seattle, WA, USA",Seattle,WA,United States,13.69
7/17/20 19:42,Full Time,3 to 5,22-30,Coach or Instructor,16,"Prefer not to disclose, Massachusetts, USA ",,MA,United States,13.5
7/18/20 2:15,Full Time,5 to 10,22-30,Management,15,"Davis, CA",Davis,CA,United States,14
7/18/20 14:53,Full Time,5 to 10,22-30,Other,20,"Arlington, VA, USA",Arlington,VA,United States,9.5
7/19/20 1:32,Full Time,1 to 3,22-30,Routesetter,24,WY,,WY,United States,7.25
